Condition,LD1,LD2,LD3,LD4,LD5,LD6,LD7
Team Flow,-4.51986482,3.251859105,-2.324100997,-2.047834029,-0.835625843,-0.592876798,-1.579577016
Team Flow,-2.763348812,2.634392926,-4.890506748,-4.997521282,-0.4708494,-0.1675126,-0.466198066
Team Flow,-0.979271974,2.010392896,-3.424900327,-4.786787593,-1.504198252,-0.992487607,0.356962469
Team Flow,-1.988071124,-0.808856832,-2.319332046,-2.732539139,-2.505109785,0.049849881,-1.859729225
Team Flow,-2.914159676,-2.444751328,1.582004802,-4.308155863,-3.126778997,-1.428709833,0.511169778
Team Flow,-3.751024689,-2.107868221,-0.96193522,-4.224892371,-1.735897547,-0.983331588,1.750643724
Team Flow,-2.155572631,-1.668363657,-2.560878118,-4.906283987,-0.131141018,-1.056894646,-0.042922826
Team Flow,-4.308161005,-2.033778226,-1.338378233,-5.547602714,-0.457446914,-2.089497061,-0.721069214
Team Flow,-3.58782887,-1.067289086,-1.757720619,-6.160172282,-2.078404642,-0.859363784,0.113179057
Team Flow,-1.24010698,-8.916904387,2.196427951,0.043352517,-1.965723608,3.968662889,-2.111478182
Team Flow,-0.501816058,-10.88756662,0.510785361,-0.631012016,0.318290132,6.792000901,0.151673117
Team Flow,-0.437470121,-9.263234738,1.212810128,-0.371593752,-1.732495968,5.723445555,-0.894727029
Team Flow,-1.05246522,-10.62624494,1.115466055,-1.090818327,0.101229933,4.361761863,-0.35151172
Team Flow,-1.60325263,-10.37073187,1.556786449,-1.351639934,-0.89524122,5.537236383,-1.43908324
Team Flow,2.348960461,-10.76455694,0.8585734,-0.166073918,0.408682615,3.830517967,-1.189771804
Team Flow,-4.981285801,-1.623256292,-3.855062985,-1.169118493,-0.73359702,2.837071481,1.39482298
Team Flow,-4.658716266,-0.787494458,-3.78844246,-2.659352284,-1.838753062,1.437698042,0.917975698
Team Flow,-4.462720009,-0.964500715,-2.589343436,-0.755319881,-0.722712419,1.129287791,-1.870146263
Team Flow,-3.569029525,-0.69075759,-5.43196216,0.306886461,-3.578593127,-0.310009046,-0.635821235
Team Flow,-3.838729644,0.457968437,-4.132650291,-0.578179081,-0.841884615,0.590285225,0.606779879
Team Flow,-3.056981163,0.512572793,-4.538592232,-0.479912456,-1.103813853,-0.512856036,1.723605105
Team Flow,0.407658633,0.143666125,3.916123391,0.068658726,0.310795137,-1.707263545,-1.278638101
Team Flow,1.970789269,0.177131757,3.094776126,-0.942762172,1.020539156,-3.323167121,-0.435528297
Team Flow,0.798913472,0.856723037,3.862933285,-0.921905965,0.989065509,-2.288093514,-0.371754286
Team Flow,-0.086116034,0.21716534,5.023826313,-0.80995903,2.737529301,-1.864194068,-0.436983313
Team Flow,0.569201937,1.138502459,3.979231719,-1.744053296,-0.461559256,-0.994021875,-0.190761203
Team Flow,0.107068337,0.282507795,3.884511941,0.110751305,2.731880686,-0.24347697,-0.801786059
Team Flow,1.358318637,1.471957784,-2.088882511,-3.085190471,0.431770236,-1.830031985,-0.939038433
Team Flow,1.365480671,1.574596348,-2.698291964,-0.694613217,1.546360945,0.913362337,0.20913056
Team Flow,3.114326297,3.156854901,-1.528369712,-3.063998645,1.077148196,0.7484937,0.141850699
Team Flow,1.575876874,1.450737734,-4.972400103,-0.466137817,1.761176007,-0.393706664,1.807439232
Team Flow,0.533541341,2.422114785,-1.362751919,-0.66926889,1.399374252,-0.266912446,3.310275738
Team Flow,1.30074864,1.890015951,-3.33219356,-2.323465651,1.930932738,-1.388770148,0.328734949
Team Flow,-5.195434995,3.590534098,2.055883796,-2.055408414,-1.303975326,1.49588881,-2.486913476
Team Flow,-6.403050758,3.440057952,-0.375277161,-1.272821575,-3.215576035,-1.214322498,-1.013389689
Team Flow,-4.88055402,3.662761027,0.353889705,-2.07481226,-2.229529946,-1.099957771,-1.080065669
Team Flow,-5.682425106,2.869216875,-0.977670678,-1.37031438,-2.530896892,-1.097441498,-0.311462048
Team Flow,-5.478909563,2.321017825,-0.892092843,-1.744885962,-2.294812333,-0.874403552,-0.120061269
Team Flow,-4.22790649,2.22600198,0.94198163,-2.384744526,-2.248160862,1.312728615,-3.929529568
Team Flow,-4.824151051,2.726701501,-2.170639266,-0.538831111,-1.796879388,-1.012847081,2.188621445
Team Flow,-4.921172198,1.24566121,-3.757948936,-1.166040859,-1.578354193,-1.785846053,0.936539566
Team Flow,-5.787535447,0.94598123,-2.118512371,-1.391858201,-1.41238644,-1.509193469,2.401379206
Team Flow,-4.985180934,1.343262815,-3.663303572,-1.31983211,-1.889693732,-0.79759604,3.055628073
Team Flow,-4.465300509,1.854386098,-3.730462121,-0.055614443,-1.669496768,-1.164872741,2.571775892
Team Flow,-3.059782657,1.816131149,-2.825650271,-1.197951873,-0.039069585,-2.98283912,3.988205889
Team Flow,-7.932733177,-2.289062872,7.333347439,5.945292517,-0.069594842,-2.788387037,-4.019262804
Team Flow,-8.532970694,-1.931662935,6.927322799,7.03018484,1.529951912,-2.248243824,-4.205861331
Team Flow,-8.572438211,-2.298283905,7.741344635,6.001654559,-0.528714389,-1.718111268,-3.009792661
Team Flow,-8.954532645,-1.860625663,7.93110139,5.451624376,0.740589288,-2.483680385,-3.352825961
Team Flow,-8.135673721,-1.829924002,9.228706922,5.898171448,0.525083842,-1.047361428,-3.264536837
Team Flow,-12.05242997,16.92874897,-4.723851438,3.069184486,-1.867414673,-4.584495867,6.227454463
Team Flow,-12.98315066,15.72620809,-2.5866684,2.899660796,-1.327333778,-4.435460014,4.393998681
Team Flow,-13.12496877,17.1135149,-3.049679847,2.988589641,-2.216229598,-4.299024339,7.417125872
Team Flow,-11.00981039,15.25458568,-3.237849843,1.516249978,-3.630178884,-4.31368722,5.376535556
Team Flow,-11.82104387,18.50027419,0.473728071,0.291633338,-1.137848694,-2.971244567,5.79201338
Team Only,-17.29714153,11.49828817,-8.830890698,-0.939330501,-4.41882406,-5.472359313,-1.056269646
Team Only,-17.02349522,12.70573063,-9.675957465,-2.602938637,-5.066167231,-5.06836586,-0.278893398
Team Only,-17.91309201,13.20999434,-11.16131455,-0.489546359,-3.476413674,-4.699069881,-0.671333061
Team Only,-17.51558704,11.58699265,-10.35044239,-1.982265692,-4.281350259,-5.13545521,0.058528772
Team Only,-17.89147799,12.70264099,-9.016314679,-2.952974689,-6.208575177,-4.173108241,-1.602972983
Team Only,-2.54513827,-0.124618689,-0.303344165,-0.2918592,-4.874605907,2.568914824,5.61995422
Team Only,0.606228804,1.493621703,-2.4112138,0.25950281,-3.250881693,2.266463754,4.284460255
Team Only,-0.640758013,0.699421134,-0.489079591,-0.993547884,-2.85602703,1.346815069,4.239248052
Team Only,0.085431728,0.379464697,0.482450534,0.013705105,-4.418492945,2.363656808,3.921488502
Team Only,0.005164471,1.882703289,-0.393245852,-0.634891971,-4.959682497,1.306712403,5.336810692
Team Only,3.74171834,-0.630116673,0.868444266,0.875051941,-1.599544872,1.08654286,-0.958180666
Team Only,4.319820358,-0.679259022,0.795252077,0.001738983,-2.305805562,1.039782483,-1.177973352
Team Only,3.725075319,-2.91102747,2.61023746,1.545856401,-0.778350691,-0.067309128,-2.062609928
Team Only,3.12729222,-0.449431443,1.67562842,0.97818629,-0.675363629,2.036707799,1.524326178
Team Only,5.737718825,-1.782858259,0.898827473,-0.699323608,-2.953263475,1.482459843,-1.667298658
Team Only,4.229008612,-2.01070594,1.427199385,0.462616943,-1.740177134,0.705771351,-1.789516489
Team Only,0.265771373,-1.271745536,-0.056335166,3.036445565,-5.342388267,2.32981612,0.218191438
Team Only,0.718619893,-0.556902513,-0.135356014,3.969652358,-4.89734986,1.235872655,-0.24256215
Team Only,-1.309477686,0.456917929,-0.040936499,3.571352621,-5.784131802,0.557420465,-1.675901369
Team Only,-0.456727487,-0.540506684,-0.499007705,3.830610416,-5.09618071,1.004252809,-1.076170508
Team Only,0.815615576,-1.35081184,-0.615013878,2.999641433,-5.104795825,2.889204868,-0.682174501
Team Only,-0.555644794,-0.712439085,-0.778153236,2.917047124,-5.060118055,2.014363561,-1.534100567
Team Only,-2.259118186,-3.874598949,-4.334557315,1.144397189,0.282824498,-2.525310583,-0.647652037
Team Only,-2.740252135,-3.993013511,-3.118149093,-1.832475033,-0.257798211,-2.255921932,-1.794357498
Team Only,-2.384037049,-2.67248366,-2.404265856,0.480655812,1.79989903,-2.085939294,0.046570747
Team Only,-2.207481358,-3.443931182,-3.311223059,0.217124555,1.328153686,-2.897535724,-1.568340572
Team Only,-3.242325615,-2.257483755,-3.461200749,0.75008262,-0.978804342,-3.365406844,-1.845527105
Team Only,-3.968999544,-4.580047426,-3.933259481,-1.029920058,0.539530101,-2.6695843,-0.559156921
Team Only,2.838123496,-10.1576016,5.480896377,-1.594187861,2.323475114,1.210471443,-1.362146324
Team Only,2.375578156,-10.10795405,6.927419375,-0.057022551,1.947461436,2.031899808,0.325481191
Team Only,2.825554476,-9.832781212,6.296588281,-1.194781299,2.856793934,0.309761249,-0.987904161
Team Only,2.765568907,-10.55806663,6.127860621,-2.580519543,1.530198267,2.434561654,-0.73413482
